name,ocd_id,state,type
Alaska's at-large congressional district,ocd-division/country:us/state:ak/cd:1,AK,cd
Alaska,ocd-division/country:us/state:ak,AK,state
Alaska State House district 1,ocd-division/country:us/state:ak/sldl:1,AK,stateleg_lower
Alaska State House district 10,ocd-division/country:us/state:ak/sldl:10,AK,stateleg_lower
Alaska State House district 11,ocd-division/country:us/state:ak/sldl:11,AK,stateleg_lower
Alaska State House district 12,ocd-division/country:us/state:ak/sldl:12,AK,stateleg_lower
Alaska State House district 13,ocd-division/country:us/state:ak/sldl:13,AK,stateleg_lower
Alaska State House district 14,ocd-division/country:us/state:ak/sldl:14,AK,stateleg_lower
Alaska State House district 15,ocd-division/country:us/state:ak/sldl:15,AK,stateleg_lower
Alaska State House district 16,ocd-division/country:us/state:ak/sldl:16,AK,stateleg_lower
Alaska State House district 17,ocd-division/country:us/state:ak/sldl:17,AK,stateleg_lower
Alaska State House district 18,ocd-division/country:us/state:ak/sldl:18,AK,stateleg_lower
Alaska State House district 19,ocd-division/country:us/state:ak/sldl:19,AK,stateleg_lower
Alaska State House district 2,ocd-division/country:us/state:ak/sldl:2,AK,stateleg_lower
Alaska State House district 20,ocd-division/country:us/state:ak/sldl:20,AK,stateleg_lower
Alaska State House district 21,ocd-division/country:us/state:ak/sldl:21,AK,stateleg_lower
Alaska State House district 22,ocd-division/country:us/state:ak/sldl:22,AK,stateleg_lower
Alaska State House district 23,ocd-division/country:us/state:ak/sldl:23,AK,stateleg_lower
Alaska State House district 24,ocd-division/country:us/state:ak/sldl:24,AK,stateleg_lower
Alaska State House district 25,ocd-division/country:us/state:ak/sldl:25,AK,stateleg_lower
Alaska State House district 26,ocd-division/country:us/state:ak/sldl:26,AK,stateleg_lower
Alaska State House district 27,ocd-division/country:us/state:ak/sldl:27,AK,stateleg_lower
Alaska State House district 28,ocd-division/country:us/state:ak/sldl:28,AK,stateleg_lower
Alaska State House district 29,ocd-division/country:us/state:ak/sldl:29,AK,stateleg_lower
Alaska State House district 3,ocd-division/country:us/state:ak/sldl:3,AK,stateleg_lower
Alaska State House district 30,ocd-division/country:us/state:ak/sldl:30,AK,stateleg_lower
Alaska State House district 31,ocd-division/country:us/state:ak/sldl:31,AK,stateleg_lower
Alaska State House district 32,ocd-division/country:us/state:ak/sldl:32,AK,stateleg_lower
Alaska State House district 33,ocd-division/country:us/state:ak/sldl:33,AK,stateleg_lower
Alaska State House district 34,ocd-division/country:us/state:ak/sldl:34,AK,stateleg_lower
Alaska State House district 35,ocd-division/country:us/state:ak/sldl:35,AK,stateleg_lower
Alaska State House district 36,ocd-division/country:us/state:ak/sldl:36,AK,stateleg_lower
Alaska State House district 37,ocd-division/country:us/state:ak/sldl:37,AK,stateleg_lower
Alaska State House district 38,ocd-division/country:us/state:ak/sldl:38,AK,stateleg_lower
Alaska State House district 39,ocd-division/country:us/state:ak/sldl:39,AK,stateleg_lower
Alaska State House district 4,ocd-division/country:us/state:ak/sldl:4,AK,stateleg_lower
Alaska State House district 40,ocd-division/country:us/state:ak/sldl:40,AK,stateleg_lower
Alaska State House district 5,ocd-division/country:us/state:ak/sldl:5,AK,stateleg_lower
Alaska State House district 6,ocd-division/country:us/state:ak/sldl:6,AK,stateleg_lower
Alaska State House district 7,ocd-division/country:us/state:ak/sldl:7,AK,stateleg_lower
Alaska State House district 8,ocd-division/country:us/state:ak/sldl:8,AK,stateleg_lower
Alaska State House district 9,ocd-division/country:us/state:ak/sldl:9,AK,stateleg_lower
Alaska State Senate district A,ocd-division/country:us/state:ak/sldu:a,AK,stateleg_upper
Alaska State Senate district B,ocd-division/country:us/state:ak/sldu:b,AK,stateleg_upper
Alaska State Senate district C,ocd-division/country:us/state:ak/sldu:c,AK,stateleg_upper
Alaska State Senate district D,ocd-division/country:us/state:ak/sldu:d,AK,stateleg_upper
Alaska State Senate district E,ocd-division/country:us/state:ak/sldu:e,AK,stateleg_upper
Alaska State Senate district F,ocd-division/country:us/state:ak/sldu:f,AK,stateleg_upper
Alaska State Senate district G,ocd-division/country:us/state:ak/sldu:g,AK,stateleg_upper
Alaska State Senate district H,ocd-division/country:us/state:ak/sldu:h,AK,stateleg_upper
Alaska State Senate district I,ocd-division/country:us/state:ak/sldu:i,AK,stateleg_upper
Alaska State Senate district J,ocd-division/country:us/state:ak/sldu:j,AK,stateleg_upper
Alaska State Senate district K,ocd-division/country:us/state:ak/sldu:k,AK,stateleg_upper
Alaska State Senate district L,ocd-division/country:us/state:ak/sldu:l,AK,stateleg_upper
Alaska State Senate district M,ocd-division/country:us/state:ak/sldu:m,AK,stateleg_upper
